asset_id,label,status,num_vertices,positive_vertices,negative_vertices,ignore_vertices,positive_fraction,negative_fraction,ignore_fraction,warnings,annotation_path
dextoolbench/brush/blue_brush,blue_brush,labeled,5983,597,5386,0,0.099783,0.900217,0.000000,,/data1/linsixu/simtoolreal_lab/assets/affordance_labels/dextoolbench/brush/blue_brush/grasp_affordance_refined_v2.npz
dextoolbench/brush/red_brush,red_brush,labeled,11953,464,11489,0,0.038819,0.961181,0.000000,,/data1/linsixu/simtoolreal_lab/assets/affordance_labels/dextoolbench/brush/red_brush/grasp_affordance_refined_v2.npz
dextoolbench/eraser/flat_eraser,flat_eraser,labeled,5434,5434,0,0,1.000000,0.000000,0.000000,few_negative_vertices,/data1/linsixu/simtoolreal_lab/assets/affordance_labels/dextoolbench/eraser/flat_eraser/grasp_affordance_refined_v2.npz
dextoolbench/eraser/handle_eraser,handle_eraser,labeled,15098,2048,10523,2527,0.135647,0.696980,0.167373,,/data1/linsixu/simtoolreal_lab/assets/affordance_labels/dextoolbench/eraser/handle_eraser/grasp_affordance_refined_v2.npz
dextoolbench/hammer/claw_hammer,claw_hammer,labeled,2012,845,1167,0,0.419980,0.580020,0.000000,,/data1/linsixu/simtoolreal_lab/assets/affordance_labels/dextoolbench/hammer/claw_hammer/grasp_affordance_refined_v2.npz
dextoolbench/hammer/mallet_hammer,mallet_hammer,labeled,9909,5112,4797,0,0.515895,0.484105,0.000000,,/data1/linsixu/simtoolreal_lab/assets/affordance_labels/dextoolbench/hammer/mallet_hammer/grasp_affordance_refined_v2.npz
dextoolbench/marker/sharpie_marker,sharpie_marker,labeled,2134,1297,619,218,0.607779,0.290066,0.102156,,/data1/linsixu/simtoolreal_lab/assets/affordance_labels/dextoolbench/marker/sharpie_marker/grasp_affordance_refined_v2.npz
dextoolbench/marker/staples_marker,staples_marker,labeled,2455,1180,811,464,0.480652,0.330346,0.189002,,/data1/linsixu/simtoolreal_lab/assets/affordance_labels/dextoolbench/marker/staples_marker/grasp_affordance_refined_v2.npz
dextoolbench/screwdriver/long_screwdriver,long_screwdriver,labeled,5449,4004,1320,125,0.734814,0.242246,0.022940,,/data1/linsixu/simtoolreal_lab/assets/affordance_labels/dextoolbench/screwdriver/long_screwdriver/grasp_affordance_refined_v2.npz
dextoolbench/screwdriver/short_screwdriver,short_screwdriver,labeled,2262,1930,223,109,0.853227,0.098585,0.048187,,/data1/linsixu/simtoolreal_lab/assets/affordance_labels/dextoolbench/screwdriver/short_screwdriver/grasp_affordance_refined_v2.npz
