asset_id,label,status,num_vertices,positive_vertices,negative_vertices,ignore_vertices,positive_fraction,negative_fraction,ignore_fraction,warnings,annotation_path
dextoolbench/brush/blue_brush,blue_brush,labeled,5983,664,3889,1430,0.110981,0.650008,0.239011,,/data1/linsixu/simtoolreal/assets/affordance_labels/dextoolbench/brush/blue_brush/grasp_affordance_clean_v2.npz
dextoolbench/brush/red_brush,red_brush,labeled,11953,683,5697,5573,0.057140,0.476617,0.466243,,/data1/linsixu/simtoolreal/assets/affordance_labels/dextoolbench/brush/red_brush/grasp_affordance_clean_v2.npz
dextoolbench/eraser/flat_eraser,flat_eraser,labeled,5434,4932,413,89,0.907619,0.076003,0.016378,,/data1/linsixu/simtoolreal/assets/affordance_labels/dextoolbench/eraser/flat_eraser/grasp_affordance_clean_v2.npz
dextoolbench/eraser/handle_eraser,handle_eraser,labeled,15098,2048,10523,2527,0.135647,0.696980,0.167373,,/data1/linsixu/simtoolreal/assets/affordance_labels/dextoolbench/eraser/handle_eraser/grasp_affordance_clean_v2.npz
dextoolbench/hammer/claw_hammer,claw_hammer,labeled,2012,1670,317,25,0.830020,0.157555,0.012425,,/data1/linsixu/simtoolreal/assets/affordance_labels/dextoolbench/hammer/claw_hammer/grasp_affordance_clean_v2.npz
dextoolbench/hammer/mallet_hammer,mallet_hammer,labeled,9909,4805,4464,640,0.484913,0.450500,0.064588,,/data1/linsixu/simtoolreal/assets/affordance_labels/dextoolbench/hammer/mallet_hammer/grasp_affordance_clean_v2.npz
dextoolbench/marker/sharpie_marker,sharpie_marker,labeled,2134,2094,11,29,0.981256,0.005155,0.013590,few_negative_vertices,/data1/linsixu/simtoolreal/assets/affordance_labels/dextoolbench/marker/sharpie_marker/grasp_affordance_clean_v2.npz
dextoolbench/marker/staples_marker,staples_marker,labeled,2455,1756,152,547,0.715275,0.061914,0.222811,,/data1/linsixu/simtoolreal/assets/affordance_labels/dextoolbench/marker/staples_marker/grasp_affordance_clean_v2.npz
dextoolbench/screwdriver/long_screwdriver,long_screwdriver,labeled,5449,4852,472,125,0.890439,0.086621,0.022940,,/data1/linsixu/simtoolreal/assets/affordance_labels/dextoolbench/screwdriver/long_screwdriver/grasp_affordance_clean_v2.npz
dextoolbench/screwdriver/short_screwdriver,short_screwdriver,labeled,2262,1930,223,109,0.853227,0.098585,0.048187,,/data1/linsixu/simtoolreal/assets/affordance_labels/dextoolbench/screwdriver/short_screwdriver/grasp_affordance_clean_v2.npz
dextoolbench/spatula/flat_spatula,flat_spatula,labeled,1567,758,593,216,0.483727,0.378430,0.137843,,/data1/linsixu/simtoolreal/assets/affordance_labels/dextoolbench/spatula/flat_spatula/grasp_affordance_clean_v2.npz
dextoolbench/spatula/spoon_spatula,spoon_spatula,labeled,1524,652,825,47,0.427822,0.541339,0.030840,,/data1/linsixu/simtoolreal/assets/affordance_labels/dextoolbench/spatula/spoon_spatula/grasp_affordance_clean_v2.npz
